--------- beginning of crash
--------- beginning of system
--------- beginning of main
2026-04-10 09:41:57.136 13690-13690 dex2oat                 dex2oat                              W  Verification of int org.concentus.OpusEncoder.opus_encode_native(short[], int, int, byte[], int, int, int, short[], int, int, int, int, int, int) took 108.616ms
---------------------------- PROCESS STARTED (13930) for package com.reedersystems.commandcomms ----------------------------
---------------------------- PROCESS ENDED (13930) for package com.reedersystems.commandcomms ----------------------------
---------------------------- PROCESS STARTED (13990) for package com.reedersystems.commandcomms ----------------------------
2026-04-10 09:45:39.834 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=6 totalFrames=6 totalPcmBytes=11520 totalEncodedBytes=812 t=866ms
2026-04-10 09:45:40.522 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=23 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=1 method=encode
2026-04-10 09:45:40.541 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1572ms
2026-04-10 09:45:40.555 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=23 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=2 assertionFailures=2 method=encode
2026-04-10 09:45:40.575 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1607ms
2026-04-10 09:45:40.856 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=25 totalFrames=31 totalPcmBytes=59520 totalEncodedBytes=4940 t=1888ms
2026-04-10 09:45:41.862 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=30 totalFrames=61 totalPcmBytes=117120 totalEncodedBytes=9480 t=2894ms
2026-04-10 09:45:42.224 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=74 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=3 method=encode
2026-04-10 09:45:42.229 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=3261ms
2026-04-10 09:45:42.874 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=35 totalFrames=96 totalPcmBytes=184320 totalEncodedBytes=15086 t=3906ms
2026-04-10 09:45:43.877 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=35 totalFrames=131 totalPcmBytes=251520 totalEncodedBytes=20695 t=4908ms
2026-04-10 09:45:44.883 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=35 totalFrames=166 totalPcmBytes=318720 totalEncodedBytes=26180 t=5915ms
2026-04-10 09:45:45.907 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=35 totalFrames=201 totalPcmBytes=385920 totalEncodedBytes=31645 t=6939ms
