--------- beginning of main
2026-03-25 13:54:00.927   404-404   gle.vp8.encoder         media.codec                          W  type=1400 audit(0.0:31292): avc: denied { getattr } for path="/dev/sw_sync" dev="tmpfs" ino=236 scontext=u:r:mediacodec:s0 tcontext=u:object_r:sw_sync_device:s0 tclass=chr_file permissive=0
2026-03-25 13:54:00.928   355-1634  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write  - Retry 0x2
2026-03-25 13:54:00.938   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.939   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:00.961   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:00.961   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.961   355-1634  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write  - Retry 0x3
2026-03-25 13:54:00.972   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:00.985   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.995   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:00.995   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:00.995   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:00.995   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:00.995   355-1636  NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  Tml Write error!!
2026-03-25 13:54:00.996   355-1636  NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  phNxpNciHal_fw_dnld_normal_cb - Request Failed!!
2026-03-25 13:54:00.996   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Processing R/W Sequence..
2026-03-25 13:54:00.997   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Response Timer Created Successfully
2026-03-25 13:54:00.997   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Inserting FrameId ..
2026-03-25 13:54:00.997   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Frame created successfully
2026-03-25 13:54:00.997   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Force Command Request submitted successfully
2026-03-25 13:54:00.997   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:00.998   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.011   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.025   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:01.025   355-1634  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write  - Retry 0x1
2026-03-25 13:54:01.027   404-404   gle.vp8.encoder         media.codec                          W  type=1400 audit(0.0:31293): avc: denied { getattr } for path="/dev/sw_sync" dev="tmpfs" ino=236 scontext=u:r:mediacodec:s0 tcontext=u:object_r:sw_sync_device:s0 tclass=chr_file permissive=0
2026-03-25 13:54:01.035   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.035   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.058   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:01.058   355-1634  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write  - Retry 0x2
2026-03-25 13:54:01.058   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.068   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.081   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.091   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:01.091   355-1634  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write  - Retry 0x3
2026-03-25 13:54:01.102   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.105   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.124   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:01.124   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:01.125   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:01.125   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:01.125   355-1636  NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  Tml Write error!!
2026-03-25 13:54:01.125   355-1636  NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  phNxpNciHal_fw_dnld_normal_cb - Request Failed!!
2026-03-25 13:54:01.125   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Processing Normal Sequence..
2026-03-25 13:54:01.125   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Initializing Sequence..
2026-03-25 13:54:01.126   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Response Timer Created Successfully
2026-03-25 13:54:01.126   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Inserting FrameId ..
2026-03-25 13:54:01.127   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Frame created successfully
2026-03-25 13:54:01.127   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  GetSessionState Request submitted successfully
2026-03-25 13:54:01.127   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:01.127   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.128   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.127   404-404   gle.vp8.encoder         media.codec                          W  type=1400 audit(0.0:31294): avc: denied { getattr } for path="/dev/sw_sync" dev="tmpfs" ino=236 scontext=u:r:mediacodec:s0 tcontext=u:object_r:sw_sync_device:s0 tclass=chr_file permissive=0
2026-03-25 13:54:01.148   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
